Method,Parameter Types,Param Sizes,Total Param Size
pt.ist.socialsoftware.edition.text.domain.Heteronym_Base$3.getValue(pt.ist.fenixframework.DomainObject): pt.ist.fenixframework.DomainObject,['pt.ist.fenixframework.DomainObject'],[16],16
pt.ist.fenixframework.consistencyPredicates.DomainDependenceRecord_Base$DO_State.domainConsistencyPredicate,[],[],0
pt.ist.socialsoftware.edition.text.domain.TextPortion.create$allLists(): void,[],[],0
pt.ist.socialsoftware.edition.ldod.frontend.utils.AnnotationDTO.getId() : java.lang.String,[],[],0
pt.ist.socialsoftware.edition.text.domain.PbText_Base.addScholarInter(pt.ist.socialsoftware.edition.text.domain.ScholarInter): void,['pt.ist.socialsoftware.edition.text.domain.ScholarInter'],[16],16
"pt.ist.socialsoftware.edition.ldod.frontend.user.security.UserModuleConnectionRepository.lambda$updateConnection$8(org.springframework.social.connect.ConnectionData, pt.ist.socialsoftware.edition.user.api.dto.UserConnectionDto): boolean","['org.springframework.social.connect.ConnectionData', 'pt.ist.socialsoftware.edition.user.api.dto.UserConnectionDto']","[16, 16]",32
pt.ist.socialsoftware.edition.virtual.domain.Tweet_Base.setIsRetweet(boolean): void,['boolean'],[1],1
"pt.ist.socialsoftware.edition.ldod.frontend.config.SocialConfig.providerSignInController(org.springframework.social.connect.ConnectionFactoryLocator, org.springframework.social.connect.UsersConnectionRepository): org.springframework.social.connect.web.ProviderSignInController","['org.springframework.social.connect.ConnectionFactoryLocator', 'org.springframework.social.connect.UsersConnectionRepository']","[16, 16]",32
pt.ist.fenixframework.DomainMetaClass_Base$DO_State.initialized,[],[],0
pt.ist.socialsoftware.edition.game.domain.ClassificationGameRound_Base.getRound(): int,[],[],0
pt.ist.socialsoftware.edition.ldod.frontend.user.forms.SignupForm.setFirstName(java.lang.String) : void,['java.lang.String'],[24],24
org.slf4j.Logger.debug(java.lang.String): void,['java.lang.String'],[24],24
pt.ist.socialsoftware.edition.recommendation.domain.RecommendationWeights_Base.getDateWeight() : double,[],[],0
pt.ist.fenixframework.consistencyPredicates.DomainConsistencyPredicate_Base.removeDomainDependenceRecord(pt.ist.fenixframework.consistencyPredicates.DomainDependenceRecord): void,['pt.ist.fenixframework.consistencyPredicates.DomainDependenceRecord'],[16],16
pt.ist.socialsoftware.edition.virtual.domain.Taxonomy_Base$DO_State.openAnnotation,[],[],0
pt.ist.socialsoftware.edition.virtual.domain.VirtualEdition_Base.getSections() : java.util.Set,[],[],0
pt.ist.socialsoftware.edition.text.domain.Facsimile.role$$source,[],[],0
pt.ist.socialsoftware.edition.text.domain.AnnexNote_Base$1.AnnexNote_Base$1(),[],[],0
"pt.ist.socialsoftware.edition.ldod.frontend.user.session.SessionRequiresInterface.removeSelectedByUser(java.lang.String, java.lang.String): void","['java.lang.String', 'java.lang.String']","[24, 24]",48
pt.ist.socialsoftware.edition.user.domain.UserConnection_Base.setDisplayName(java.lang.String): void,['java.lang.String'],[24],24
pt.ist.socialsoftware.edition.virtual.domain.Category_Base$2.Category_Base$2(),[],[],0
pt.ist.socialsoftware.edition.text.domain.Source_Base.getLdoDDate() : pt.ist.socialsoftware.edition.text.domain.LdoDDate,[],[],0
pt.ist.socialsoftware.edition.ldod.frontend.text.FeTextRequiresInterface.initializeTextModule(): boolean,[],[],0
pt.ist.socialsoftware.edition.text.domain.PrintedSource_Base.setPubPlace(java.lang.String): void,['java.lang.String'],[24],24
pt.ist.socialsoftware.edition.user.domain.User_Base.getSocialMediaId(): java.lang.String,[],[],0
pt.ist.socialsoftware.edition.text.domain.Fragment_Base$6.getInverseRole(): pt.ist.fenixframework.dml.runtime.Role,[],[],0
pt.ist.socialsoftware.edition.ldod.frontend.user.FeUserRequiresInterface.getVirtualEditionOfTagByExternalId(java.lang.String) : pt.ist.socialsoftware.edition.virtual.api.dto.VirtualEditionDto,['java.lang.String'],[24],24
pt.ist.fenixframework.adt.bplustree.InnerNode.init$Instance(boolean): void,['boolean'],[1],1
pt.ist.fenixframework.adt.bplustree.LeafNodeArray_Base$DO_State.copyTo(pt.ist.fenixframework.backend.jvstmojb.pstm.OneBoxDomainObject$DO_State): void,['pt.ist.fenixframework.backend.jvstmojb.pstm.OneBoxDomainObject$DO_State'],[16],16
"pt.ist.socialsoftware.edition.virtual.api.VirtualProvidesInterface.saveVirtualEdition(java.lang.String, java.lang.String[]): void","['java.lang.String', 'java.lang.String[]']","[24, 24]",48
pt.ist.socialsoftware.edition.ldod.frontend.utils.ui.FragInterDto$InterType.static {},[],[],0
pt.ist.socialsoftware.edition.text.domain.Citation_Base.getInfoRangeSet() : java.util.Set,[],[],0
pt.ist.socialsoftware.edition.virtual.domain.VirtualEditionInter.role$$uses,[],[],0
pt.ist.socialsoftware.edition.game.domain.ClassificationGameRound_Base.setTime(org.joda.time.DateTime): void,['org.joda.time.DateTime'],[24],24
pt.ist.socialsoftware.edition.ldod.frontend.user.security.UserModuleConnectionRepository$callable$updateConnection.arg1,[],[],0
pt.ist.socialsoftware.edition.text.domain.ExpertEdition_Base.getRelationExpertEditionHasExpertEditionInters() : pt.ist.fenixframework.dml.runtime.DirectRelation,[],[],0
pt.ist.socialsoftware.edition.ldod.frontend.utils.validator.LdoDValidatorFunctions.emptyOrWhitespaceString(java.lang.String) : java.lang.Boolean,['java.lang.String'],[24],24
"pt.ist.socialsoftware.edition.text.domain.AltText_Base.set$mode(pt.ist.socialsoftware.edition.text.domain.AltText$AltMode, pt.ist.fenixframework.backend.jvstmojb.pstm.OneBoxDomainObject$DO_State): void","['pt.ist.socialsoftware.edition.text.domain.AltText$AltMode', 'pt.ist.fenixframework.backend.jvstmojb.pstm.OneBoxDomainObject$DO_State']","[16, 16]",32
java.lang.String.startsWith(java.lang.String): boolean,['java.lang.String'],[24],24
pt.ist.socialsoftware.edition.text.domain.Source.getRelationSourceHasFacsimile(): pt.ist.fenixframework.dml.runtime.DirectRelation,[],[],0
pt.ist.socialsoftware.edition.text.domain.Heteronym_Base$2.Heteronym_Base$2(),[],[],0
pt.ist.socialsoftware.edition.virtual.domain.MediaSource_Base.get$obj$state(boolean): pt.ist.fenixframework.backend.jvstmojb.pstm.OneBoxDomainObject$DO_State,['boolean'],[1],1
pt.ist.socialsoftware.edition.virtual.domain.VirtualEdition_Base$5.getValue(pt.ist.socialsoftware.edition.virtual.domain.VirtualEdition): pt.ist.socialsoftware.edition.virtual.domain.VirtualEdition,['pt.ist.socialsoftware.edition.virtual.domain.VirtualEdition'],[16],16
pt.ist.socialsoftware.edition.text.domain.Surface_Base.set$refText(pt.ist.fenixframework.backend.jvstmojb.ojb.OJBFunctionalSetWrapper) : void,['pt.ist.fenixframework.backend.jvstmojb.ojb.OJBFunctionalSetWrapper'],[16],16
pt.ist.fenixframework.consistencyPredicates.DomainConsistencyPredicate_Base$3.getSet(pt.ist.fenixframework.DomainObject): pt.ist.fenixframework.dml.runtime.RelationBaseSet,['pt.ist.fenixframework.DomainObject'],[16],16
pt.ist.socialsoftware.edition.ldod.frontend.user.session.FrontendSession.updateSession(java.lang.String) : void,['java.lang.String'],[24],24
io.jsonwebtoken.Jws.getBody(): java.lang.Object,[],[],0
pt.ist.socialsoftware.edition.ldod.frontend.domain.Menu.remove() : void,[],[],0
pt.ist.socialsoftware.edition.ldod.frontend.user.FeUserRequiresInterface.getAdmin(): boolean,[],[],0
"pt.ist.socialsoftware.edition.ldod.frontend.domain.Menu_Base.access$000(pt.ist.socialsoftware.edition.ldod.frontend.domain.Menu_Base, boolean): pt.ist.fenixframework.backend.jvstmojb.pstm.OneBoxDomainObject$DO_State","['pt.ist.socialsoftware.edition.ldod.frontend.domain.Menu_Base', 'boolean']","[16, 1]",17
pt.ist.socialsoftware.edition.game.domain.ClassificationGameParticipant_Base.getClassificationGame(): pt.ist.socialsoftware.edition.game.domain.ClassificationGame,[],[],0
pt.ist.socialsoftware.edition.ldod.frontend.user.security.UserModuleUserDetails.isAccountNonLocked() : boolean,[],[],0
pt.ist.socialsoftware.edition.text.domain.SourceInter_Base.get$obj$state(boolean): pt.ist.fenixframework.backend.jvstmojb.pstm.OneBoxDomainObject$DO_State,['boolean'],[1],1
"java.lang.RuntimeException.RuntimeException(java.lang.String, java.lang.Throwable)","['java.lang.String', 'java.lang.Throwable']","[24, 40]",64
pt.ist.fenixframework.DomainMetaObject_Base$3.getInverseRole(): pt.ist.fenixframework.dml.runtime.Role,[],[],0
java.util.List.clear(): void,[],[],0
pt.ist.socialsoftware.edition.virtual.domain.VirtualEditionInter_Base.set$annotation(pt.ist.fenixframework.backend.jvstmojb.ojb.OJBFunctionalSetWrapper) : void,['pt.ist.fenixframework.backend.jvstmojb.ojb.OJBFunctionalSetWrapper'],[16],16
pt.ist.socialsoftware.edition.ldod.frontend.user.security.UserModuleUserDetailsService$callable$loadUserByUsername.call(): java.lang.Object,[],[],0
java.io.FileReader.FileReader(java.io.File),['java.io.File'],[16],16
pt.ist.socialsoftware.edition.text.domain.TypeNote_Base.static {},[],[],0
pt.ist.socialsoftware.edition.ldod.frontend.user.session.FrontendSession.serialVersionUID,[],[],0
java.io.File.exists(): boolean,[],[],0
pt.ist.socialsoftware.edition.text.domain.RefText.role$$surface,[],[],0
"pt.ist.socialsoftware.edition.ldod.frontend.domain.Option_Base.set$link(java.lang.String, pt.ist.fenixframework.backend.jvstmojb.pstm.OneBoxDomainObject$DO_State): void","['java.lang.String', 'pt.ist.fenixframework.backend.jvstmojb.pstm.OneBoxDomainObject$DO_State']","[24, 16]",40
pt.ist.fenixframework.DomainMetaClass_Base.getInitialized(): java.lang.Boolean,[],[],0
pt.ist.socialsoftware.edition.virtual.domain.TwitterCitation_Base.set$tweet(pt.ist.fenixframework.backend.jvstmojb.ojb.OJBFunctionalSetWrapper): void,['pt.ist.fenixframework.backend.jvstmojb.ojb.OJBFunctionalSetWrapper'],[16],16
pt.ist.fenixframework.adt.bplustree.BPlusTreeArray_Base$DO_State.BPlusTreeArray_Base$DO_State(),[],[],0
"pt.ist.socialsoftware.edition.text.domain.ScholarInter_Base$12.beforeAdd(pt.ist.socialsoftware.edition.text.domain.ScholarInter, pt.ist.socialsoftware.edition.text.domain.PbText): void","['pt.ist.socialsoftware.edition.text.domain.ScholarInter', 'pt.ist.socialsoftware.edition.text.domain.PbText']","[16, 16]",32
pt.ist.socialsoftware.edition.text.domain.TextModule_Base$1.TextModule_Base$1(),[],[],0
pt.ist.socialsoftware.edition.game.domain.ClassificationGame_Base.get$responsible(): java.lang.String,[],[],0
pt.ist.socialsoftware.edition.virtual.domain.Tag.getRelationTag2Category(): pt.ist.fenixframework.dml.runtime.DirectRelation,[],[],0
"pt.ist.socialsoftware.edition.user.domain.User_Base$4.beforeAdd(pt.ist.socialsoftware.edition.user.domain.User, pt.ist.socialsoftware.edition.user.domain.Role): void","['pt.ist.socialsoftware.edition.user.domain.User', 'pt.ist.socialsoftware.edition.user.domain.Role']","[16, 16]",32
pt.ist.socialsoftware.edition.text.domain.Source_Base$DO_State.repository,[],[],0
pt.ist.socialsoftware.edition.text.domain.Surface_Base.initInstance(): void,[],[],0
pt.ist.socialsoftware.edition.ldod.frontend.utils.LdoDCreateVirtualEditionException.isPub(): boolean,[],[],0
"pt.ist.socialsoftware.edition.ldod.frontend.text.FeTextRequiresInterface.putAppTextWithVariations(java.lang.String, java.util.List) : java.util.List","['java.lang.String', 'java.util.List']","[24, 24]",48
"pt.ist.socialsoftware.edition.text.domain.Facsimile_Base$1.setValue(pt.ist.socialsoftware.edition.text.domain.Facsimile, pt.ist.socialsoftware.edition.text.domain.Source): void","['pt.ist.socialsoftware.edition.text.domain.Facsimile', 'pt.ist.socialsoftware.edition.text.domain.Source']","[16, 16]",32
pt.ist.socialsoftware.edition.virtual.domain.MediaSource_Base.initInstance(): void,[],[],0
pt.ist.socialsoftware.edition.text.domain.Heteronym_Base.getScholarInterCount(): int,[],[],0
io.jsonwebtoken.JwtBuilder.setExpiration(java.util.Date): io.jsonwebtoken.JwtBuilder,['java.util.Date'],[24],24
pt.ist.fenixframework.consistencyPredicates.DomainConsistencyPredicate_Base.init$Instance(boolean): void,['boolean'],[1],1
"pt.ist.socialsoftware.edition.recommendation.domain.RecommendationWeights_Base.access$100(pt.ist.socialsoftware.edition.recommendation.domain.RecommendationWeights_Base, boolean): pt.ist.fenixframework.backend.jvstmojb.pstm.OneBoxDomainObject$DO_State","['pt.ist.socialsoftware.edition.recommendation.domain.RecommendationWeights_Base', 'boolean']","[16, 1]",17
"pt.ist.socialsoftware.edition.virtual.domain.Section_Base.set$title(java.lang.String, pt.ist.fenixframework.backend.jvstmojb.pstm.OneBoxDomainObject$DO_State): void","['java.lang.String', 'pt.ist.fenixframework.backend.jvstmojb.pstm.OneBoxDomainObject$DO_State']","[24, 16]",40
"pt.ist.fenixframework.DomainRoot_Base.access$300(pt.ist.fenixframework.DomainRoot_Base, boolean): pt.ist.fenixframework.backend.jvstmojb.pstm.OneBoxDomainObject$DO_State","['pt.ist.fenixframework.DomainRoot_Base', 'boolean']","[16, 1]",17
pt.ist.socialsoftware.edition.text.domain.PhysNote.init$Instance(boolean): void,['boolean'],[1],1
pt.ist.socialsoftware.edition.text.domain.ScholarEdition.create$allLists(): void,[],[],0
"pt.ist.socialsoftware.edition.text.domain.LdoDDate_Base.access$200(pt.ist.socialsoftware.edition.text.domain.LdoDDate_Base, boolean): pt.ist.fenixframework.backend.jvstmojb.pstm.OneBoxDomainObject$DO_State","['pt.ist.socialsoftware.edition.text.domain.LdoDDate_Base', 'boolean']","[16, 1]",17
pt.ist.socialsoftware.edition.ldod.frontend.user.FeUserRequiresInterface.getFragmentByXmlId(java.lang.String) : pt.ist.socialsoftware.edition.text.api.dto.FragmentDto,['java.lang.String'],[24],24
pt.ist.socialsoftware.edition.game.domain.ClassificationGame_Base.setSync(boolean): void,['boolean'],[1],1
"pt.ist.socialsoftware.edition.virtual.domain.Member_Base.set$active(boolean, pt.ist.fenixframework.backend.jvstmojb.pstm.OneBoxDomainObject$DO_State): void","['boolean', 'pt.ist.fenixframework.backend.jvstmojb.pstm.OneBoxDomainObject$DO_State']","[1, 16]",17
pt.ist.socialsoftware.edition.ldod.frontend.domain.UiComponent_Base.getMenuCount() : int,[],[],0
pt.ist.fenixframework.DomainMetaClass_Base$DomainMetaClassDeclaredConsistencyPredicates.DomainMetaClass_Base$DomainMetaClassDeclaredConsistencyPredicates(),[],[],0
"pt.ist.socialsoftware.edition.ldod.frontend.reading.FeReadingRequiresInterface.getMostSimilarFragmentsOfGivenFragment(pt.ist.socialsoftware.edition.text.api.dto.FragmentDto, java.util.Set, pt.ist.socialsoftware.edition.recommendation.api.dto.WeightsDto) : java.util.List","['pt.ist.socialsoftware.edition.text.api.dto.FragmentDto', 'java.util.Set', 'pt.ist.socialsoftware.edition.recommendation.api.dto.WeightsDto']","[16, 16, 32]",64
pt.ist.socialsoftware.edition.text.domain.RefText_Base$3.getValue(pt.ist.socialsoftware.edition.text.domain.RefText): pt.ist.socialsoftware.edition.text.domain.Surface,['pt.ist.socialsoftware.edition.text.domain.RefText'],[16],16
pt.ist.socialsoftware.edition.user.domain.UserConnection_Base.get$refreshToken(): java.lang.String,[],[],0
"pt.ist.socialsoftware.edition.virtual.domain.VirtualModule_Base$1.setValue(pt.ist.fenixframework.DomainObject, pt.ist.fenixframework.DomainObject): void","['pt.ist.fenixframework.DomainObject', 'pt.ist.fenixframework.DomainObject']","[16, 16]",32
pt.ist.socialsoftware.edition.ldod.frontend.domain.Option_Base$DO_State.menu,[],[],0
pt.ist.fenixframework.DomainFenixFrameworkRoot_Base.DomainFenixFrameworkRoot_Base(),[],[],0
pt.ist.socialsoftware.edition.game.domain.ClassificationGame_Base.get$state(): java.lang.String,[],[],0
pt.ist.socialsoftware.edition.ldod.frontend.user.UserAdminController.deleteUserSessons() : java.lang.String,[],[],0
"pt.ist.socialsoftware.edition.ldod.frontend.user.session.FrontendSession.toggleSelectedVirtualEdition(java.lang.String, java.lang.String): void","['java.lang.String', 'java.lang.String']","[24, 24]",48
"pt.ist.fenixframework.DomainBPlusTreeJVSTM_Base$1.setValue(pt.ist.fenixframework.DomainObject, pt.ist.fenixframework.DomainObject): void","['pt.ist.fenixframework.DomainObject', 'pt.ist.fenixframework.DomainObject']","[16, 16]",32
pt.ist.socialsoftware.edition.ldod.frontend.config.Application.configure(org.springframework.boot.builder.SpringApplicationBuilder): org.springframework.boot.builder.SpringApplicationBuilder,['org.springframework.boot.builder.SpringApplicationBuilder'],[16],16
pt.ist.socialsoftware.edition.virtual.domain.TwitterCitation_Base.get$obj$state(boolean): pt.ist.fenixframework.backend.jvstmojb.pstm.OneBoxDomainObject$DO_State,['boolean'],[1],1
pt.ist.socialsoftware.edition.virtual.domain.VirtualModule_Base.setSponsor(java.lang.String) : void,['java.lang.String'],[24],24
pt.ist.socialsoftware.edition.ldod.frontend.utils.LdoDCreateClassificationGameException.getVirtualEdition(): pt.ist.socialsoftware.edition.virtual.api.dto.VirtualEditionDto,[],[],0
pt.ist.socialsoftware.edition.virtual.domain.VirtualEditionInter_Base$VirtualEditionInterUsesVirtualEditionInter.VirtualEditionInter_Base$VirtualEditionInterUsesVirtualEditionInter(),[],[],0
pt.ist.socialsoftware.edition.virtual.domain.VirtualEdition_Base.getMemberSet() : java.util.Set,[],[],0
pt.ist.socialsoftware.edition.text.domain.NullEdition_Base.init$Instance(boolean): void,['boolean'],[1],1
pt.ist.socialsoftware.edition.text.domain.InfoRange_Base.init$Instance(boolean): void,['boolean'],[1],1
pt.ist.socialsoftware.edition.virtual.domain.VirtualEdition_Base$2.getInverseRole(): pt.ist.fenixframework.dml.runtime.Role,[],[],0
"pt.ist.fenixframework.adt.bplustree.InnerNodeArray_Base.set$subNodes(java.io.Serializable, pt.ist.fenixframework.backend.jvstmojb.pstm.OneBoxDomainObject$DO_State): void","['java.io.Serializable', 'pt.ist.fenixframework.backend.jvstmojb.pstm.OneBoxDomainObject$DO_State']","[16, 16]",32
"pt.ist.socialsoftware.edition.text.domain.RefText_Base.set$type(pt.ist.socialsoftware.edition.text.domain.RefText$RefType, pt.ist.fenixframework.backend.jvstmojb.pstm.OneBoxDomainObject$DO_State): void","['pt.ist.socialsoftware.edition.text.domain.RefText$RefType', 'pt.ist.fenixframework.backend.jvstmojb.pstm.OneBoxDomainObject$DO_State']","[16, 16]",32
